Titre,URI de la circulaire,Identifiant unique de la circulaire,Type de document,Autres Références,Référence,Statut du texte,Lien vers le texte,Lien vers les annexes,Télécharger le document,Lien vers les annexes,Date de signature,Nature,Code SIAF,Date de signature ou de publication,Services administratifs concernés,Producteur(s),Date de modification,Date d'abrogation,Texte abrogatoire,Domaine archivistique,Contexte historique,Domaines (mots matières),Typologie documentaire,Domaines d'action,Modifie le(s) texte(s) suivant(s),Modifié par les textes suivants,Abroge le(s) texte(s) suivant(s)
Archives départementales et communales. Modification des délais de conservation de certaines catégories de papiers,https://francearchives.gouv.fr/circulaire/AD_11338_7016,AD_11338_7016,,30_08_1941,,caduc,,,https://francearchives.gouv.fr/file/1b54a7eb7d095a5c4dbe327acb674a17cfdd3d25/30_08_1941.pdf,,,Circulaire,AD 11338/7016,30/08/1941,Département. Archives départementales,,05/01/2004,,,Circulaire de tri,,collectivité locale; culture,,,ARRETE_1921_07_01,DPACI_RES_2004_001,
Aménagements fiscaux (versement aux AD des registres de formalités hypothécaires),https://francearchives.gouv.fr/circulaire/ORDONNANCE_1945_05_05,ORDONNANCE_1945_05_05,Ordonnance,sans référence,,caduc,,,,,05/05/1945,,,05/05/1945,France. Direction générale des impôts (Conservation des hypothèques),DGI,,,,Circulaire de tri,,finances publiques,transcription hypothécaire,,,,
Versement des archives des commissariats régionaux de la République,https://francearchives.gouv.fr/circulaire/DAF_1946_03_23_2,DAF_1946_03_23_2,,,,caduc,,,https://francearchives.gouv.fr/file/0a5b5d48323b0d120d89e2cf08c9d432e187de54/23_03_1946_CRR.pdf,,,Circulaire,sans référence,23/03/1946,France. Commissariat de la république (commune),,,,,Circulaire de tri,Libération (1944-1945),administration préfectorale,,,,,
Versement des archives des comités départementaux de libération,https://francearchives.gouv.fr/circulaire/DAF_1946_03_23_1,DAF_1946_03_23_1,,,,caduc,,,https://francearchives.gouv.fr/file/430e6c6f7b44fd9030f72fb806641debb97d47dd/23_03_1946.pdf,,,Circulaire,sans référence,23/03/1946,Département. Comité départemental de libération,CDL,,,,Circulaire de tri,Libération (1944-1945),guerre,,,,,
Reconstitution de l'état-civil,https://francearchives.gouv.fr/circulaire/DAF_1946_05_05,DAF_1946_05_05,,,,caduc,,,https://francearchives.gouv.fr/file/382b6e1f1ba2bf850640e8cd4f9d32961568a9cc/05_05_1946.pdf,,,Circulaire,sans référence,05/05/1946,France. Direction générale des impôts (Service de l'Enregistrement),DGI,,,,Circulaire de tri,,finances publiques,,,,,
"Versement aux Archives départementales, lors du prochain recensement quinquennal, des listes communales de recensement de la population de 1946",https://francearchives.gouv.fr/circulaire/DAF_1946_07_01,DAF_1946_07_01,,,,caduc,,,https://francearchives.gouv.fr/file/af29e2b4b2f37d204f8ef6d41b28c14497f242c3/01_07_1946.pdf,,,Circulaire,sans référence,01/07/1946,Commune (département),,,,,Circulaire de tri,,population,liste nominative,,,,
Versement aux archives départementales des dossiers des procédures suivies devant les Conseil de guerre antérieurs à 1910,https://francearchives.gouv.fr/circulaire/33.304_DMJ_4,33.304_DMJ_4,Instruction du ministre des armées,2464 DJM/4,,caduc,,,https://francearchives.gouv.fr/file/b81de233ed21a5bb5752f2d372fcae29c7b4ddc0/2464_DJM_4.pdf,,23/01/1947,,,23/01/1947,"France. Tribunal militaire permanent (commune, département). Greffe",,,,,Circulaire de tri,19e siècle,guerre; justice; armée,dossier de procédure,,,,
Papiers des dommages de guerre 1914-1918,https://francearchives.gouv.fr/circulaire/DAF_1947_08_04,DAF_1947_08_04,,,,caduc,,,https://francearchives.gouv.fr/file/8d9ecbc4467561a47f71420a86f12dadbd0c99cc/04_08_1947.pdf,,,Circulaire,sans référence,04/08/1947,France. Direction des dommages de guerre (Services d'apurement et de liquidation des dommages de guerre),,,,,Circulaire de tri,Guerre 1914-1918,guerre,,,,,
Papiers des dommages de guerre 1914-1918,https://francearchives.gouv.fr/circulaire/DAF_1947_10_23,DAF_1947_10_23,,,,caduc,,,https://francearchives.gouv.fr/file/08682f4fe123f4448acb359dae3e929d08180163/23_10_1947.pdf,,,Circulaire,sans référence,23/10/1947,France. Direction des dommages de guerre,,,,,Circulaire de tri,Guerre 1914-1918,guerre,,,,,
Versement des archives des directions départementales des Postes et Télécommunications (PTT) pour la période 1939-1945,https://francearchives.gouv.fr/circulaire/AD_48_12,AD_48_12,,,,caduc,,,,,,Circulaire,AD 48-12,09/10/1948,Département. Direction départementale des postes,DDP,,,,Circulaire de tri,Guerre 1939-1945,poste; communications,,,,,
Versement des archives des services départementaux du ministère de la reconstruction et de l'urbanisme pour la période 1939-1946,https://francearchives.gouv.fr/circulaire/AD_48_11,AD_48_11,,,,caduc,,,,,,Circulaire,AD 48-11,20/10/1948,Département. Direction de la reconstruction et de l'urbanisme,,,,,Circulaire de tri,Guerre 1939-1945,guerre,,,,,
Versement aux Archives départementales des archives des services d'assistance aux réfugiés pour la période 1939-1945,https://francearchives.gouv.fr/circulaire/DAF_1949_03_29,DAF_1949_03_29,,,,caduc,,,,,,Circulaire,sans référence,29/03/1949,Office national des anciens combattants et victimes de guerre. Direction départementale (département),ONAC,,,,Circulaire de tri,Guerre 1939-1945,guerre,,,,,
Déclarations et pièces annexes des dossiers d'impôts sur les revenus dont le délai d'utilisation est expiré. Vente de pièces inutiles.,https://francearchives.gouv.fr/circulaire/2473,2473,"Note du ministère des finances (direction générale des impôts, contributions directes et cadastre)",2473,,abrogée,,,https://francearchives.gouv.fr/file/6b73411d8003fdbb3a1f3e6b0c491708342d3ff9/2473.pdf,,25/02/1950,,,25/02/1950,"Direction générale des impôt,
Département. Direction départementale des contributions directes
Direction générale des impôts (Services extérieurs : cadastre)",DGI,,,,Circulaire de tri,,finances publiques,,,,,
Archives des sociétés nationalisées (propriété des archives des sociétés nationalisées),https://francearchives.gouv.fr/circulaire/AD_50_12,AD_50_12,Avis du conseil d'État,sans référence,,caduc,,,,,29/11/1949,Circulaire,AD 50-12,01/04/1950,Société nationalisée dénomination (France),,,,,Circulaire de tri,,finances publiques; économie,,,,,
