Titre,URI de la circulaire,Identifiant unique de la circulaire,Type de document,Autres Références,Référence,Statut du texte,Lien vers le texte,Lien vers les annexes,Télécharger le document,Lien vers les annexes,Date de signature,Nature,Code SIAF,Date de signature ou de publication,Services administratifs concernés,Producteur(s),Date de modification,Date d'abrogation,Texte abrogatoire,Domaine archivistique,Contexte historique,Domaines (mots matières),Typologie documentaire,Domaines d'action,Modifie le(s) texte(s) suivant(s),Modifié par les textes suivants,Abroge le(s) texte(s) suivant(s)
Sauvegarde d'archives scolaires de l'époque 1939-1945,https://francearchives.gouv.fr/circulaire/AD_67_5,AD_67_5,Circulaire,III-IV 67-1143,,caduc,,,https://francearchives.gouv.fr/file/fa9bf9dc3f0fe94ee728aef26aa6306beaaa7700/AD_67_5.pdf,,10/05/1967,Circulaire,AD 67-5,28/07/1967,"Établissement d'enseignement Nom (commune, département)",,,,,Circulaire de tri,Guerre 1939-1945,enseignement,,,,,
Archives des dommages de guerre 1939-1945 : versement des fichiers,https://francearchives.gouv.fr/circulaire/AD_17272_9297,AD_17272_9297,,,,caduc,,,https://francearchives.gouv.fr/file/2df73d4c6f40c76369a920208a02fdd65ca654ee/AD_17272_9297.pdf,,,Note,AD 17272/9297,26/09/1967,France. Direction des dommages de guerre,,,,,Circulaire de tri,Guerre 1939-1945,guerre,,,,,
Élimination des carnets anthropométriques des gitans et nomades (série M),https://francearchives.gouv.fr/circulaire/AD_18364_9667,AD_18364_9667,,,,caduc,,,https://francearchives.gouv.fr/file/b33c6fe294edf89eb03ce513e5c96a62e708c07e/AD_18364_9667.pdf,,,Note,AD 18364/9667,04/10/1967,Département. Préfecture,,13/04/1970,,,Circulaire de tri,,population; police administrative,titre de circulation,,ARRETE_1921_07_01,AD_70_3,
Versement aux archives départementales des registres matricules du service du recrutement,https://francearchives.gouv.fr/circulaire/AD_67_7,AD_67_7,,,,caduc,,,https://francearchives.gouv.fr/file/5177e1b6617c7d095a37cac0b173881d95b7f316/static_1012.pdf,,,Circulaire,AD 67-7,16/10/1967,"France. Centre du service national
France. Bureau du service national (commune, département)",,,,,Circulaire de tri,,armée,registre matricule,recrutement,,,
Versement des archives du recensement général de la population de 1962,https://francearchives.gouv.fr/circulaire/AD_22044_11756,AD_22044_11756,,,,caduc,,,https://francearchives.gouv.fr/file/c93f9bb580bb4bcd80463a0317d801e0ff4a8bff/AD_22044_11756.pdf,,,Note,AD 22044/11756,23/11/1967,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Versement des archives du recensement général de la population de 1962,https://francearchives.gouv.fr/circulaire/AD_22043_11755,AD_22043_11755,,,,caduc,,,https://francearchives.gouv.fr/file/f0f93ce856f83f7f8210bf33a87bbc08175c542e/AD_22043_11755.pdf,,,Note,AD 22043/11755,23/11/1967,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Versement des registres matricules du service du recrutement,https://francearchives.gouv.fr/circulaire/AD_6273_3690,AD_6273_3690,,,,caduc,,,https://francearchives.gouv.fr/file/a9a3b2afc667934c350e47f05e9147dca78dae23/AD_6273_3690.pdf,,,Note,AD 6273/3690,20/03/1968,"France. Centre du service national
France. Bureau du service national (commune, département)",,,,,Circulaire de tri,,armée,registre matricule,recrutement,AD_67_7,,
"Archives départementales, versement et conservation des services extérieurs des douanes : manifestes des ports et des registres des mouvements de navires à l'entrée et à la sortie",https://francearchives.gouv.fr/circulaire/AD_68_4,AD_68_4,Circulaire,151,,en vigueur,,,https://francearchives.gouv.fr/file/837604f4ca1eb992db4ef02b1dbc5ca71f6bef54/AD_68_4.pdf,,17/05/1968,Circulaire,AD 68-4,04/04/1968,France. Direction générale des douanes et droits indirects (services déconcentrés),,,,,Circulaire de tri,,finances publiques,manifeste de navire,,DAF_1957_02_02,,
Conservation des dossiers et des duplicatas de cartes nationales d'identité,https://francearchives.gouv.fr/circulaire/AD_68_7,AD_68_7,Circulaire,68-166,,abrogée,,,https://francearchives.gouv.fr/file/6cc7d0401bab0f2e53c8736cb8883627a2cb4b50/static_1010.pdf,,30/04/1968,Circulaire,AD 68-7,12/06/1968,"Département. Préfecture
Département. Sous-préfecture (commune)",,,,,Circulaire de tri,,police administrative,carte d'identité,,ARRETE_1921_07_01,,
Dossiers individuels d'impôts sur le revenu,https://francearchives.gouv.fr/circulaire/AD_68_10,AD_68_10,,,,abrogée,,,https://francearchives.gouv.fr/file/5d6615c1ef8b01d157021b5153a11ebeb9a8eaa9/AD_68_10.pdf,,,Circulaire,AD 68-10,25/10/1968,France. Direction générale des impôts (Services déconcentrés),DGI,28/04/1978,13/02/1989,AD_89_1|,Circulaire de tri,,finances publiques,,,,AD_78_3,
Règlement des archives hospitalières,https://francearchives.gouv.fr/circulaire/AD_68_11,AD_68_11,Arrêté interministériel,,,en vigueur (partiellement abrogée / modifiée),,,https://francearchives.gouv.fr/file/6e7ab479c5c3f325ef6cbc643e003b0a67e62d45/AD_68_11.pdf,,11/03/1968,Circulaire,AD 68-11,03/11/1968,"Établissement public de santé Dénomination (commune, département)",,26/11/1993,,,Circulaire de tri,,santé,,,,AD_93_5; AD_94_10; AD_94_11; AD_94_2; AD_94_6; DPACI_RES_2007_014,
Versement des archives du cabinet du préfet,https://francearchives.gouv.fr/circulaire/AD_452_223,AD_452_223,Circulaire du ministre de l'intérieur,68-577,,en vigueur,,,https://francearchives.gouv.fr/file/99a91e9ed34c519d962238eb99431b69d060dfa6/static_799.pdf,,19/12/1968,Note,AD 452-223,10/01/1969,Département. Préfecture,,,,,Circulaire de tri,,administration préfectorale,,,,,
Dossiers individuels personnels d'impôts sur le revenu,https://francearchives.gouv.fr/circulaire/AD_1072_730,AD_1072_730,Note,CD n°172,,abrogée,,,,,04/12/1968,Note,AD 1072/730,21/01/1969,France. Direction générale des impôts (Services déconcentrés),DGI,28/04/1978,,,Circulaire de tri,,finances publiques,,,,AD_78_3,
Versement des listes nominatives du recensement de la population de 1968,https://francearchives.gouv.fr/circulaire/AD_1862_1218_A_ET_B__,AD_1862_1218_A_ET_B__,Circulaire,691/RB 68,,caduc,,,https://francearchives.gouv.fr/file/0c34156abf5690106280587dcc447fab02eb3943/AD_1862_1218_A_B.pdf,,21/01/1969,Note,AD 1862/1218,03/02/1969,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Conservation des collections des brevets d'invention et du bulletin officiel de la propriété industrielle aux Archives départementales,https://francearchives.gouv.fr/circulaire/AD_3863_2461,AD_3863_2461,Décret,68-1100,,caduc,,,https://francearchives.gouv.fr/file/e0cccafc79fd40a3244ae7cb8eb7c52ec631fbc5/AD_3863_2461.pdf,,05/12/1968,Note,AD 3863/2461,04/03/1969,Institut national de la propriété industrielle,INPI,,,,Circulaire de tri,,économie,brevet d'invention,,,,
Délai de conservation dans les Archives départementales des dossiers de contentieux concernant les prix,https://francearchives.gouv.fr/circulaire/AD_69_1,AD_69_1,Circulaire,,,abrogée,,,https://francearchives.gouv.fr/file/3b1651552ab9b95cac761bfd8a1d55747c90bf42/AD_69_1.pdf,,29/05/1952,Circulaire,AD 69-1,10/03/1969,Département. Direction départementale de la concurrence et de la consommation,DDCC,,26/07/1984,AD_84_2|,Circulaire de tri,,économie,,réglementation,,,
Archives des postes : versement de statistiques établies en 1936 (statistique quinquennale 538),https://francearchives.gouv.fr/circulaire/AD_7733_5082,AD_7733_5082,,,,caduc,,,https://francearchives.gouv.fr/file/e0df87c0a713b8aeee9e78b4ebc83965659b3b88/AD_7733_5082.pdf,,,Note,AD 7733/5082,29/04/1969,La Poste,,,,,Circulaire de tri,,poste; communications,statistique,,,,
Archives des anciennes compagnies d'électricité nationalisées,https://francearchives.gouv.fr/circulaire/AD_AQ_8083_5284,AD_AQ_8083_5284,,,,caduc,,,https://francearchives.gouv.fr/file/a1c3be1100f62cab6523cdd15d2560c59988f249/AD_AQ_8083_5284.pdf,,,Note,AD/AQ 8083/5284,06/05/1969,Électricité de France,EDF,,,,Circulaire de tri,,économie,,,AD_55_4,,
"Durée de conservation, dans les archives départementales, des dossiers de demandes afférentes à l'ensemble des formes d'aide sociale",https://francearchives.gouv.fr/circulaire/AD_69_5,AD_69_5,,,,abrogée,,,https://francearchives.gouv.fr/file/ef4b9a22b0c251224a22d188d3542bcac9e60201/static_1009.pdf,,,Circulaire,AD 69-5,16/05/1969,Département. Direction des affaires sanitaires et sociales,DDASS,,,,Circulaire de tri,,protection sociale,,,ARRETE_1921_07_01,,
Archives des établissements d'enseignement supérieur,https://francearchives.gouv.fr/circulaire/AD_12101_6800,AD_12101_6800,Circulaire,III/SP n°1570,,caduc,,,https://francearchives.gouv.fr/file/543ebb635583187b4fd86e4a01e939cfea296ad0/AD_12101_6800.pdf,,12/06/1969,Note,AD 12101/6800,20/06/1969,"Établissement d'enseignement supérieur nom (commune, département)",,,,,Circulaire de tri,,enseignement,,,,,
Archives des établissements d'enseignement secondaire,https://francearchives.gouv.fr/circulaire/AD_12689_6925,AD_12689_6925,Circulaire,IV/VI 69-277,,caduc,,,https://francearchives.gouv.fr/file/5541d10d80589b2073a2079a2670cca22d4ddb95/AD_12689_6925.pdf,,10/06/1969,Note,AD 12689/6925,24/06/1969,"Établissement d'enseignement du second degré Nom (commune, département)",,,,,Circulaire de tri,,enseignement,,,,,
Archives départementales : versement des papiers des conservations régionales des bâtiments de France,https://francearchives.gouv.fr/circulaire/AD_69_8,AD_69_8,Circulaire,sans référence,,abrogée,,,https://francearchives.gouv.fr/file/5eb83e8c68e3e2916ace26ec6f1e7f5caf990cc6/AD_69_8.pdf,https://francearchives.gouv.fr/file/23979bc355cefcc7747e6a0f2b4c15b746c0bf81/AD_69_8_annexe.pdf,10/07/1969,Circulaire,AD 69-8,10/07/1969,Région. Conservation régionale des monuments historiques,CRMH,21/09/2004,,,Circulaire de tri,,culture,,protection,,DPACI_RES_2004_019,
Versement des dossiers du recensement général de l'agriculture de 1955,https://francearchives.gouv.fr/circulaire/AD_20510_11354,AD_20510_11354,Circulaire du directeur général de l'insee,45841/222,,ponctuel,,,https://francearchives.gouv.fr/file/4b20e5af757e6b643bc04678e637622c571c49f6/AD_20510_11354.pdf,,16/10/1969,Note,AD 20510/11354,05/11/1969,Département. Service départemental des statistiques agricoles,,,,,Circulaire de tri,,agriculture,statistique,recensement,ARRETE_1921_07_01,,
Versement des dossiers du recensement général de l'agriculture de 1955,https://francearchives.gouv.fr/circulaire/AD_20509_11355,AD_20509_11355,Circulaire du directeur général de l'insee,5841/222,,ponctuel,,,https://francearchives.gouv.fr/file/f5963e450a824e5b55a860b54e1623f816e6f479/AD_20509_11355.pdf,,16/10/1969,Note,AD 20509/11355,05/11/1969,Département. Service départemental des statistiques agricoles,,,,,Circulaire de tri,,agriculture,statistique,recensement,,,
"Dossiers des cours de justice ayant fonctionné après la Libération : dossiers classés "" sans suite "" et non-lieu, versement aux archives départementales",https://francearchives.gouv.fr/circulaire/AD_20914_11617,AD_20914_11617,Circulaire,1016-1,,caduc,,,https://francearchives.gouv.fr/file/fbf733e28b562164ca7503c9bd7a284f7681c3b3/static_775.pdf,,20/10/1969,Note,AD 20914/11617,17/11/1969,"France. Chambre civique (chef-lieu de département)
France. Cour de justice (chef-lieu de département)",,,,,Circulaire de tri,Libération (1944-1945),justice,dossier de procédure,,,,
Versement des dossiers relatifs aux déclarations de l'impôt de solidarité nationale de 1945,https://francearchives.gouv.fr/circulaire/AD_69_9,AD_69_9,,,,caduc,,,https://francearchives.gouv.fr/file/b64a8b699761bed767ff1f15ba57a759ddfa0a60/AD_69_9.pdf,,,Circulaire,AD 69-9,18/12/1969,France. Direction générale des impôts (Services déconcentrés),DGI,,,,Circulaire de tri,Libération (1944-1945),finances publiques,,,,,
Archives départementales : dépôt d'archives techniques immobilières par le service du génie,https://francearchives.gouv.fr/circulaire/AD_70_1,AD_70_1,,,,abrogée,,,https://francearchives.gouv.fr/file/056b84fb3554a24efc77d7566979ddde26ebf7e7/static_1005.pdf,,,Circulaire,AD 70-1,08/01/1970,France. Région militaire (numéro). Direction des travaux du génie,,15/06/1971,18/12/1998,AD_98_8|,Circulaire de tri,,armée,,,,AD_11987_7406,
Questionnaires individuels de l'enquête communautaire agricole de 1967,https://francearchives.gouv.fr/circulaire/AD_3651_2476,AD_3651_2476,,,,caduc,,,,,,Note,AD 3651/2476,17/02/1970,Département. Service départemental des statistiques agricoles,,13/11/1972,,,Circulaire de tri,,agriculture,questionnaire d'enquête,recensement,,AD_72_3; AD_79_6,
Agences départementales des bâtiments de France : versement des documents architecturaux,https://francearchives.gouv.fr/circulaire/AD_4337_3075,AD_4337_3075,Circulaire du ministre des affaires culturelles (direction de l'architecture),DDAC n°266/70,,abrogée,,,https://francearchives.gouv.fr/file/c8d4da7662d6061d19ba32a710e6d4685cda7725/AD_4337_3075.pdf,,19/02/1970,Note,AD 4337/3075,27/02/1970,France. Conservation départementale des bâtiments de France (commune chef-lieu du ressort),,21/09/2004,,,Circulaire de tri,,culture,,,,DPACI_RES_2004_019,
Carnets anthropométriques des nomades : versement aux archives départementales des carnets périmés,https://francearchives.gouv.fr/circulaire/AD_70_3,AD_70_3,,,,caduc,,,https://francearchives.gouv.fr/file/66be5e4e0144ab9bc980c9138cfb44fb0384e540/static_798.pdf,,,Circulaire,AD 70-3,13/04/1970,"Département. Préfecture
Département. Sous-préfecture (commune)",,12/05/1976,,,Circulaire de tri,,population; police administrative,titre de circulation,,ARRETE_1921_07_01,AD_76_2,
Impôt de solidarité nationale de 1945,https://francearchives.gouv.fr/circulaire/AD_10164_6326,AD_10164_6326,,,,caduc,,,https://francearchives.gouv.fr/file/d85de247d69aaccc4aaed12659796f8351f59e0d/AD_10164_6326.pdf,,,Note,AD 10164/6326,19/05/1970,France. Direction générale des Impôts,DGI,31/12/1979,,,Circulaire de tri,Libération (1944-1945),finances publiques,,,AD_69_9,AD_79_6,
"Archives de l'éducation nationale : rectorats, inspections académiques, établissements d'enseignement supérieur, établissements d'enseignement du second degré, écoles primaires, écoles maternelles et établissements d'enseignement spécial",https://francearchives.gouv.fr/circulaire/AD_70_5,AD_70_5,Circulaire du ministre de l'éducation nationale,AD 70-215,,abrogée,,,https://francearchives.gouv.fr/file/00289437faee3824edef7f7ef82ee23d30169016/static_1006.pdf,,28/04/1970,Circulaire,AD 70-5,26/05/1970,"France. Rectorat (ressort),
Département. Inspection académique
Établissement d'enseignement du second degré Nom (commune, département)
Établissement d'enseignement spécialisé Nom (commune, département)
Établissement d'enseignement supérieur nom (commune, département)
École maternelle Nom (commune, département)
École primaire Nom (commune, département)",,,22/02/2005,DPACI_RES_2005_003|,Circulaire de tri,,enseignement,,,ARRETE_1921_07_01,,
Archives des industries minières et métallurgiques,https://francearchives.gouv.fr/circulaire/AD_AQ_11338_7016,AD_AQ_11338_7016,,,,ponctuel,,,https://francearchives.gouv.fr/file/30150542d9de0b3be618146ccfd59be1d2e6002c/Note_AD_AQ_11338_7016.pdf,,,Note,AD/AQ/11338/7016,08/06/1970,,,,,,Circulaire de tri,,industrie; économie,,,,,
Choix des établissements d'enseignement du second degré appelés à verser leurs archives aux archives départementales,https://francearchives.gouv.fr/circulaire/AD_70_1058,AD_70_1058,,,,abrogée,,,,,,Note,AD 70-1058,17/06/1970,"Établissement d'enseignement du second degré Nom (commune, département)",,,22/02/2005,DPACI_RES_2005_003|,Circulaire de tri,,enseignement,,,,,
Choix des établissements des premier et second degrés appelés à verser leurs archives aux Archives départementales,https://francearchives.gouv.fr/circulaire/AD_13544_8229,AD_13544_8229,Circulaires du ministre de l'éducation nationale (cabinet),"70-1057
70-1058",,abrogée,,,https://francearchives.gouv.fr/file/3e34935b8f71741b4b78251cbe33ea3b91546ae1/AD_13544_8229.pdf,,17/06/1970,Note,AD 13544/8229,15/07/1970,"Établissement d'enseignement du second degré Nom (commune, département)",,,22/02/2005,DPACI_RES_2005_003|,Circulaire de tri,,enseignement,,,,,
Modification des délais d'élimination des archives électorales,https://francearchives.gouv.fr/circulaire/AD_70_6,AD_70_6,,,,abrogée,,,https://francearchives.gouv.fr/file/c6c57ea818944a3c577f04349df460136330abd6/static_1007.pdf,,,Circulaire,AD 70-6,16/07/1970,"Département. Préfecture
Département. Sous-préfecture (commune)",,05/01/2004,,,Circulaire de tri,,élection,,,ARRETE_1921_07_01,DPACI_RES_2004_001,
Conservation de certaines catégories de documents intéressant la circulation routière,https://francearchives.gouv.fr/circulaire/AD_70_8,AD_70_8,,,,abrogée,,,https://francearchives.gouv.fr/file/da8abd96bdbc3d9ba7e223b558854a9956762d1f/AD_70_8.pdf,,,Circulaire,AD 70-8,06/08/1970,"Département. Préfecture
Département. Sous-préfecture (commune)",,12/02/1990,17/03/1993,AD_93_2|,Circulaire de tri,,police administrative,titre de circulation,,,AD_21579_5049; AD_90_2,
Fiches d'enquête préalable aux permis de construire : autorisation d'élimination,https://francearchives.gouv.fr/circulaire/AD_1532_1091,AD_1532_1091,,,,abrogée,,,https://francearchives.gouv.fr/file/7fcc73f84fade95be0e3ac22767cd244bf02a059/static_820.pdf,,,Note,AD 1532/1091,26/01/1971,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,équipement,permis de construire,,,,
Application de la loi n°70-1200 du 21 décembre 1970 sur les archives communales,https://francearchives.gouv.fr/circulaire/AD_71_3,AD_71_3,,,,caduc,,,https://francearchives.gouv.fr/file/ad7a77534a12941f97cbdbc306b3b28f06b393a2/AD_71_3.pdf,,,Circulaire,AD 71-3,07/06/1971,Commune. (département) Archives communales,,,,,Circulaire de tri,,collectivité locale; culture,,,,,
Dépôt d'archives techniques du génie aux archives départementales [archives techniques immobilière domaine des armée],https://francearchives.gouv.fr/circulaire/AD_11987_7406,AD_11987_7406,Circulaire,003970 DCG/T/EG,,caduc,,,https://francearchives.gouv.fr/file/f77112169c0ba9b44d2b9a04d241d50685fccec8/static_1003.pdf,,15/07/1969,Note,AD 11987/7406,15/06/1971,France. Région militaire (numéro). Direction des travaux du génie,,18/12/1998,,,Circulaire de tri,,armée,,,,AD_98_8,
Archives des laboratoires du Centre national de la recherche scientifique (CNRS),https://francearchives.gouv.fr/circulaire/AD_14962_8908,AD_14962_8908,,,,abrogée,,,https://francearchives.gouv.fr/file/0316f0c178378f145948b89cf2617b8c86b6c51d/static_1004.pdf,,,Note,AD 14962/8908,03/08/1971,Centre national de la recherche scientifique (France),CNRS,15/01/2007,,,Circulaire de tri,,recherche scientifique; enseignement,,,,DPACI_RES_2007_002,
Enquêtes préalables à l'établissement des plans d'urbanisme : versement des dossiers aux Archives départementales par les services centraux du ministère de l'Équipement et du Logement,https://francearchives.gouv.fr/circulaire/AD_10192_6640,AD_10192_6640,,,,caduc,,,https://francearchives.gouv.fr/file/d010c7afc188823281bb635cce8f91aaffad6b6e/AD_10192_6640.pdf,,,Note,AD 10192/6640,16/05/1972,France. Ministère de l'équipement,,,,,Circulaire de tri,,équipement,,,,,
Versement aux Archives départementales des archives des charges d'avoués supprimées,https://francearchives.gouv.fr/circulaire/AD_12403_8161,AD_12403_8161,,,,caduc,,,https://francearchives.gouv.fr/file/ae9982ceb0a35098191bbfa4e3a8e7c045d71579/AD_12403_8161.pdf,,,Note,AD 12403/8161,22/06/1972,"Avoué
Compagnie des avoués (cour d'appel)",,,,,Circulaire de tri,,justice,,,,,
Archives des services extérieurs de l'Office national des forêts (ONF),https://francearchives.gouv.fr/circulaire/AD_72_2,AD_72_2,,,,abrogée,,,https://francearchives.gouv.fr/file/cb3a08324cffaf25ba1068601537404e9fb42f9b/AD_72_2.pdf,,,Circulaire,AD 72-2,26/06/1972,"Office national des forêts (France). Division (commune, département)
Office national des forêts (France). Conservation (commune, département)
Office national des forêts (France). Agence (dénomination)",ONF,16/11/1972,28/04/1988,1988_ONF,Circulaire de tri,,environnement; agriculture,,,ARRETE_1921_07_01,AD_18620_12418,
"Versement, tri et conservation des archives des directions départementales de l'agriculture et des services rattachés.",https://francearchives.gouv.fr/circulaire/AD_72_3,AD_72_3,,,,en vigueur (partiellement abrogée / modifiée),,,https://francearchives.gouv.fr/file/9b4371e7abb2f6d7ffb2f39c1db52bf020512df1/AD_72_3.pdf,,,Circulaire,AD 72-3,13/11/1972,"Département. Direction départementale de l'agriculture et de la forêt.Services rattachés :
Département. Direction départementale des services vétérinaires,
France. Inspection générale des lois sociales en agriculture,
services départementaux de la répression des fraudes et du contrôle de la qualité",DDAFDDSV,09/09/1996,,,Circulaire de tri,,agriculture,,,ARRETE_1921_07_01,AD_2000_2; AD_96_4; AD_97_3; AD_97_6,
"Envoi des annexes 4 et 5 à la circulaire AD 72-2 du 26 juin 1972, diffusées par l'Office national des forêts (ONF)",https://francearchives.gouv.fr/circulaire/AD_18620_12418,AD_18620_12418,,,,en vigueur (partiellement abrogée / modifiée),,,https://francearchives.gouv.fr/file/368362daed7b11bb64d8d1dee71078351ed4d2b7/AD_18620_12418.pdf,,,Note,AD 18620/12418,16/11/1972,Office national des forêts (France),ONF,28/04/1988,,,Circulaire de tri,,environnement; agriculture,,,AD_72_2,AGRICULTURE_1988_04_28,
"Archives des greffes des tribunaux de commerce : instruction relative au versement, au tri et à la conservation",https://francearchives.gouv.fr/circulaire/AD_72_4,AD_72_4,Circulaire,72-17 DACS,,abrogée,,,https://francearchives.gouv.fr/file/b474f32460d26f00e970946e2bb0c3999bda1663/AD_72_4.pdf,,07/07/1972,Circulaire,AD 72-4,23/11/1972,"France. Tribunal de commerce (commune, département)",TC,,27/07/1988,AD_88_7|,Circulaire de tri,,justice; économie,,,,,
Archives médicales des établissements de soins privés,https://francearchives.gouv.fr/circulaire/AD_19979_13485,AD_19979_13485,Note du conseil national des médecins,,,abrogée,,,https://francearchives.gouv.fr/file/6c02b2836f61968b64e840af7b5c0a070eb4c0d9/AD_19979_13485.pdf,,,Note,AD 19979/13485,29/11/1972,"Établissement privé de santé Dénomination (commune, département)",,,,,Circulaire de tri,,santé,,,,,
Application de la loi 70-1200 sur les archives communales : cas des communes fusionnées,https://francearchives.gouv.fr/circulaire/AD_72_5,AD_72_5,,,,caduc,,,https://francearchives.gouv.fr/file/5895cc2c6e0de86d900947eef6e609cb04e7fe01/AD_72_5.pdf,,,Circulaire,AD 72-5,20/12/1972,Commune (département),,,,,Circulaire de tri,,collectivité locale,,,,,
Archives des établissements d'enseignement supérieur : dossiers médicaux des étudiants,https://francearchives.gouv.fr/circulaire/AD_86_157,AD_86_157,,,,abrogée,,,https://francearchives.gouv.fr/file/919716b609074b18fa53db6c164a030a59c53784/AD_86_157.pdf,,,Note,AD 86/157,05/01/1973,"Établissement d'enseignement supérieur nom (commune, département)
Université nom (chef-lieu de département), Service médical",,,22/02/2005,DPACI_RES_2005_003|,Circulaire de tri,,santé; enseignement,dossier médical,,AD_68_11,,
Versement d'archives des services départementaux du travail et de la main d'oeuvre : sort à leur réserver,https://francearchives.gouv.fr/circulaire/AD_398_330,AD_398_330,Circulaire du ministre chargé des affaires sociales,sans référence,,caduc,,,https://francearchives.gouv.fr/file/3de0f1a7620fe378667ee5195d9107499ada5de7/AD_398_330.pdf,,05/01/1973,Note,AD 398/330,10/01/1973,Département. Service départemental de la main-d'oeuvre,,,,,Circulaire de tri,Guerre 1939-1945,emploi,,,,,
Archives communales : conservation des copies d'exploits d'huissiers,https://francearchives.gouv.fr/circulaire/AD_73_1,AD_73_1,Lettre du garde des sceaux,sans référence,,abrogée,,,https://francearchives.gouv.fr/file/5d27dd623565f9743d6ca7905685f6bba1b0b028/AD_73_1.pdf; https://francearchives.gouv.fr/file/fe4e3e45beb09e40b7570ddf6c7f60fcf62591be/static_1001.pdf,,26/03/1973,Circulaire,AD 73-1,02/04/1973,"Chambre départementale des huissiers de justice (département)
Commune (département).",,11/08/1993,,,Circulaire de tri,,justice; collectivité locale,exploit d'huissier,,ARRETE_1926_12_31,AD_93_1,
Délai de conservation des archives du service des télécommunications,https://francearchives.gouv.fr/circulaire/DAF_1973_10_12,DAF_1973_10_12,,,,caduc,,,,,,Circulaire,sans référence,12/10/1973,France. Direction générale des télécommunications,,,,,Circulaire de tri,,communications,,,,,
Délais de conservation de certains documents et registres ainsi que des imprimés de la série D,https://francearchives.gouv.fr/circulaire/74_S_40,74_S_40,Circulaire du ministre des finances (direction générale des impôts),74-S-40,,abrogée,,,,,18/02/1974,,,18/02/1974,France. Direction générale des douanes et droits indirects,DGDDI,,,,Circulaire de tri,,finances publiques,,,,,
Archives des conseils régionaux,https://francearchives.gouv.fr/circulaire/AD_2965_2268,AD_2965_2268,,,,caduc,,,,,,Note,AD 2965/2268,18/02/1974,Région. Conseil régional,,,,,Circulaire de tri,,collectivité locale,,,,,
Archives de l'Institut national de la statistique et des études économiques (INSEE) versées aux Archives départementales,https://francearchives.gouv.fr/circulaire/AD_3148_2525,AD_3148_2525,,,,caduc,,,,,,Note,AD 3148/2525,20/02/1974,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,,,,,
Versement des archives du recensement général de la population de 1968,https://francearchives.gouv.fr/circulaire/AD_4493_3488,AD_4493_3488,,,,caduc,,,https://francearchives.gouv.fr/file/b574cec1499bc7a1d556abac59bbddad61952137/AD_4493_3488.pdf,,,Note,AD 4493/3488,12/03/1974,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Versement des archives du recensement général de la population de 1968,https://francearchives.gouv.fr/circulaire/AD_4493bis_3488bis,AD_4493bis_3488bis,,,,caduc,,,https://francearchives.gouv.fr/file/0360c37edddf1939e7bc0ade9c67927bb203068f/AD_4493bis_3488bis.pdf,,,Note,AD 4493bis/3488bis,12/03/1974,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Archives des conservations régionales des bâtiments de France,https://francearchives.gouv.fr/circulaire/AD_15148_10669,AD_15148_10669,Circulaire,14/74,,abrogée,,,https://francearchives.gouv.fr/file/0991c0c4d525bea3ea1a8f0662eb1e5bfc59a4e9/AD_15148_10669.pdf,,15/10/1974,Note,AD 15148/10669,04/11/1974,Région. Conservation régionale des monuments historiques,CRMH,21/09/2004,,,Circulaire de tri,,culture,,protection,,DPACI_RES_2004_019,
Modification du titre VIII du règlement général des Archives départementales,https://francearchives.gouv.fr/circulaire/AD_74_6,AD_74_6,Arrêté,671,,abrogée,,,,,28/11/1974,Circulaire,AD 74-6,12/12/1974,Département. Archives départementales,,,,,Circulaire de tri,,collectivité locale; culture,,,,,ARRETE_1921_07_01
Versement et conservation des archives du recensement général de 1968,https://francearchives.gouv.fr/circulaire/AD_16464_11202,AD_16464_11202,,,,caduc,,,https://francearchives.gouv.fr/file/bbb38af05db8abbe931cca3abab6bbab0f470b5a/AD_16464_11202.pdf,,,Note,AD 16464/11202,12/12/1974,Institut national de la statistique et des études économiques (France). Direction régionale (chef-lieu de région),INSEE,,,,Circulaire de tri,,population,liste nominative,,,,
Archives des services et établissements de l'éducation : tri et conservation des documents concernant les examens et les bourses,https://francearchives.gouv.fr/circulaire/AD_75_1,AD_75_1,Circulaire du ministre de l'éducation nationale,75-001,,abrogée,,,https://francearchives.gouv.fr/file/cf29a3d41b5b56e95d45f628f14b0340e2a1618d/static_999.pdf,,02/01/1975,Circulaire,AD 75-1,25/02/1975,France. Ministère de l'éducation nationale,,,22/02/2005,DPACI_RES_2005_003|,Circulaire de tri,,enseignement,dossier individuel,,AD_70_5,,
